Year,Week_Index,Conference,Mentions_conf,Sentiment_conf,Conference_Opponent,avg_chaos_score
2019,1,ACC,10646,65,ACC,3.0967222158266665
2019,1,ACC,10646,65,Big10,4.73044570565
2019,1,ACC,10646,65,SEC,3.013365301366665
2019,2,ACC,10395,33,ACC,3.526835201809997
2019,2,ACC,10395,33,SEC,1.615957995279997
2019,3,ACC,9445,63,ACC,3.573317951213332
2019,3,ACC,9445,63,Big12,4.59586171422
2019,4,ACC,6990,50,ACC,4.0998293689099965
2019,5,ACC,7643,65,ACC,2.9421117202475
2019,6,ACC,5759,58,ACC,3.7326390538075
2019,7,ACC,5682,62,ACC,2.617989119191999
2019,8,ACC,6218,60,ACC,2.8475890788942846
2019,9,ACC,7529,31,ACC,3.6496583921359997
2019,10,ACC,7169,31,ACC,2.299953072806
2019,11,ACC,8185,39,ACC,2.514693714055999
2019,12,ACC,6623,69,ACC,2.863320845173999
2019,13,ACC,6367,38,ACC,2.03463883197
2019,1,Big10,19024,65,ACC,4.01260584906
2019,1,Big10,19024,65,Pac12,2.085587560429998
2019,1,Big10,19024,65,SEC,3.205753217115
2019,2,Big10,13295,60,ACC,3.2214858020399966
2019,2,Big10,13295,60,Big10,2.3968614697799997
2019,2,Big10,13295,60,SEC,2.4556136027399997
2019,3,Big10,10511,47,ACC,2.26036467634
2019,3,Big10,10511,47,Big10,1.66977289074
2019,3,Big10,10511,47,Big12,3.30701299068
2019,3,Big10,10511,47,Pac12,4.18985052404
2019,4,Big10,16074,-8,ACC,1.717119593169997
2019,4,Big10,16074,-8,Big10,3.1986738900566665
2019,5,Big10,13131,41,Big10,2.6904573690383327
2019,6,Big10,13480,54,Big10,2.374225431241666
2019,7,Big10,12410,27,Big10,2.380086352281665
2019,8,Big10,12882,22,Big10,2.31466358258
2019,9,Big10,12098,45,Big10,2.6290386779549983
2019,10,Big10,9682,34,Big10,2.468466224067499
2019,11,Big10,13612,65,Big10,3.3916387601079996
2019,12,Big10,11057,62,Big10,3.339019064773999
2019,13,Big10,11025,50,Big10,2.911535450497142
2019,1,Big12,16140,69,,
2019,2,Big12,13941,57,SEC,2.629563589729997
2019,3,Big12,16005,47,ACC,3.223557245459997
2019,3,Big12,16005,47,Big10,4.575434693679997
2019,4,Big12,14435,44,Big12,2.80092610653
2019,5,Big12,9708,30,Big12,2.5175529334249984
2019,6,Big12,11272,50,Big12,2.1326701601219997
2019,7,Big12,10372,47,Big12,4.7253253639266655
2019,8,Big12,7528,43,Big12,4.017007456325999
2019,9,Big12,9349,46,Big12,2.6567676407574985
2019,10,Big12,8175,21,Big12,3.1034826055799996
2019,11,Big12,8904,39,Big12,2.8581761644724994
2019,12,Big12,8444,23,Big12,3.240397349803999
2019,13,Big12,7906,56,Big12,3.115056867097999
2019,1,Pac12,11857,54,ACC,4.664778925489997
2019,1,Pac12,11857,54,Big10,2.75293413332
2019,1,Pac12,11857,54,Big12,2.8538670010800002
2019,2,Pac12,8155,47,Big10,4.031329975769997
2019,2,Pac12,8155,47,Pac12,3.708039454869999
2019,3,Pac12,7361,31,Big12,2.6552077427949987
2019,4,Pac12,5958,33,Pac12,3.344581498932499
2019,5,Pac12,5912,54,Pac12,2.9494356783859974
2019,6,Pac12,5241,34,Pac12,4.13259980412
2019,7,Pac12,8368,48,Pac12,2.4159135842325
2019,8,Pac12,6232,40,Pac12,2.4590188909966653
2019,9,Pac12,5688,62,Pac12,3.004461166535999
2019,10,Pac12,6100,45,Pac12,2.545373132277499
2019,11,Pac12,5515,39,Pac12,3.0942498463524992
2019,12,Pac12,4507,62,Pac12,2.128094678575998
2019,13,Pac12,7453,62,Pac12,3.2788786117866664
2019,1,SEC,20556,52,ACC,3.9476363436839996
2019,1,SEC,20556,52,Big12,2.636346369469998
2019,1,SEC,20556,52,Pac12,3.117118349619997
2019,1,SEC,20556,52,SEC,2.0488035620999994
2019,2,SEC,14886,24,Big12,1.829412171989997
2019,2,SEC,14886,24,SEC,2.7309253963799973
2019,3,SEC,13193,44,Big12,3.6737570571099996
2019,3,SEC,13193,44,SEC,2.279401872034998
2019,4,SEC,11602,29,Pac12,2.8422523433499967
2019,4,SEC,11602,29,SEC,2.2123169052239993
2019,5,SEC,10979,19,SEC,2.273389891032499
2019,6,SEC,9113,41,SEC,2.0896772931766656
2019,7,SEC,9844,49,SEC,3.0950710714849987
2019,8,SEC,10585,56,SEC,2.417376848642856
2019,9,SEC,11142,37,SEC,2.553480053433998
2019,10,SEC,9395,36,SEC,2.2207645547174995
2019,11,SEC,27923,62,SEC,2.637985505822499
2019,12,SEC,27218,44,SEC,2.4552945308883327
2019,13,SEC,13463,64,SEC,3.40078908334
2020,1,ACC,7161,68,Big12,2.57685684027
2020,2,ACC,13537,27,ACC,2.93936793
2020,3,ACC,17151,17,ACC,3.72935732787
2020,4,ACC,7893,64,ACC,3.774816036022
2020,5,ACC,6041,31,ACC,3.5991970195275
2020,6,ACC,6025,29,ACC,3.84761781404
2020,7,ACC,6661,43,ACC,3.000568563785
2020,8,ACC,7283,51,ACC,2.908509676085
2020,9,ACC,4948,57,ACC,1.9162578691324998
2020,10,ACC,7295,3,ACC,2.980948968265
2020,11,ACC,5984,-10,ACC,3.4570045034675
2020,12,ACC,7127,0,ACC,2.986417424025
2020,13,ACC,5469,-3,ACC,3.814547035205
2020,1,Big10,9421,58,ACC,4.81987259616
2020,1,Big10,9421,58,Pac12,4.52062068731
2020,2,Big10,7725,75,,
2020,3,Big10,14125,59,,
2020,4,Big10,6811,30,,
2020,5,Big10,5634,51,,
2020,6,Big10,5849,63,,
2020,7,Big10,7214,47,,
2020,8,Big10,20516,50,Big10,2.99242966436
2020,9,Big10,15554,-11,Big10,2.444299244203333
2020,10,Big10,10851,-8,Big10,2.4099449196883334
2020,11,Big10,12049,-31,Big10,1.89505812266
2020,12,Big10,11880,17,Big10,2.7135577910149995
2020,13,Big10,11206,-2,Big10,3.2368200423079996
2020,1,Big12,7116,31,Pac12,2.8233830091899996
2020,1,Big12,7116,31,SEC,2.479237778445
2020,2,Big12,11142,62,,
2020,3,Big12,8961,51,,
2020,4,Big12,10011,18,Big12,2.1257616808399997
2020,5,Big12,10334,27,Big12,3.619307376154
2020,6,Big12,9712,11,Big12,2.775423525426667
2020,7,Big12,7588,19,Big12,5.231118724149999
2020,8,Big12,7332,27,Big12,2.9607517620539996
2020,9,Big12,8876,10,Big12,2.9406812937759996
2020,10,Big12,8038,65,Big12,2.6230945155920002
2020,11,Big12,5175,28,Big12,2.8799546045049995
2020,12,Big12,6110,67,Big12,3.5018354711699997
2020,13,Big12,7536,-5,Big12,3.0627174872675003
2020,0,Pac12,4001,77,,
2020,1,Pac12,4580,56,Big12,2.3459689829399997
2020,2,Pac12,13094,61,,
2020,3,Pac12,7580,50,,
2020,4,Pac12,7186,58,,
2020,5,Pac12,7294,59,,
2020,6,Pac12,8946,19,,
2020,7,Pac12,7372,42,,
2020,8,Pac12,7821,54,,
2020,9,Pac12,7848,46,,
2020,10,Pac12,7947,-9,Pac12,2.7639722909374997
2020,11,Pac12,8735,43,Pac12,3.496860601484
2020,12,Pac12,11407,49,Pac12,2.3394463747875003
2020,13,Pac12,5992,39,Pac12,3.332935275815
2020,1,SEC,18852,77,ACC,2.5562041563099998
2020,1,SEC,18852,77,Big10,3.686210319056666
2020,2,SEC,7988,40,,
2020,3,SEC,10942,4,,
2020,4,SEC,20616,53,SEC,3.0363207735728572
2020,5,SEC,11677,47,SEC,2.1611143728657143
2020,6,SEC,11153,19,SEC,2.7569100007671428
2020,7,SEC,18510,54,SEC,2.598814948768
2020,8,SEC,11753,33,SEC,2.7431200424975
2020,9,SEC,8537,36,SEC,2.5425795149983332
2020,10,SEC,15552,40,SEC,3.4908021201775
2020,11,SEC,9685,9,SEC,2.0477951115033335
2020,12,SEC,8974,19,SEC,2.5752757018700003
2020,13,SEC,11549,38,SEC,2.0980051567366664
2021,1,ACC,9017,46,Big10,2.36765929263
2021,1,ACC,9017,46,SEC,2.53028835819
2021,2,ACC,12994,41,Big10,2.95715427747
2021,3,ACC,11286,28,ACC,2.048746034986667
2021,3,ACC,11286,28,Big10,3.1253198917900002
2021,4,ACC,7808,33,ACC,3.11388713857
2021,4,ACC,7808,33,Big12,4.276764587400001
2021,4,ACC,7808,33,SEC,3.46783693916
2021,5,ACC,7005,37,ACC,2.99203643559
2021,6,ACC,5130,42,ACC,4.79769260976
2021,7,ACC,5429,-3,ACC,2.6025559215959997
2021,8,ACC,5436,32,ACC,4.279002614732
2021,9,ACC,5767,43,ACC,3.750452381718333
2021,10,ACC,5522,33,ACC,4.13139084201
2021,11,ACC,5861,18,ACC,4.2338757388333335
2021,12,ACC,6635,26,ACC,3.3423600623699996
2021,13,ACC,6027,29,ACC,2.51366244328
2021,13,ACC,6027,29,SEC,0.9639007769400001
2021,1,Big10,20576,36,Big10,2.73799670824
2021,1,Big10,20576,36,Big12,6.00419966557
2021,1,Big10,20576,36,Pac12,2.3659249931999997
2021,1,Big10,20576,36,SEC,2.36581932501
2021,2,Big10,13414,50,Pac12,2.6485581688049997
2021,3,Big10,13332,62,Big10,2.70476389368
2021,3,Big10,13332,62,SEC,3.41622617856
2021,4,Big10,12638,17,Big10,3.111869758623333
2021,5,Big10,12448,49,Big10,2.5299647049716665
2021,6,Big10,12592,37,Big10,3.605865502238
2021,7,Big10,9641,30,Big10,3.6704216481825
2021,8,Big10,8809,42,Big10,3.3061890759579997
2021,9,Big10,12042,25,Big10,2.9679365480271427
2021,10,Big10,12334,61,Big10,2.3064992330657144
2021,11,Big10,11834,23,Big10,2.20084958144
2021,12,Big10,11611,37,Big10,1.8967127884214285
2021,13,Big10,19170,66,Big10,3.3779379179599998
2021,1,Big12,13403,50,Pac12,2.1701291752199996
2021,2,Big12,12764,56,Big10,3.1471310800000003
2021,2,Big12,12764,56,Pac12,3.3389545975200003
2021,3,Big12,10322,10,ACC,2.28772956774
2021,3,Big12,10322,10,Big10,1.6370108514
2021,3,Big12,10322,10,Big12,3.08521659438
2021,4,Big12,8739,32,Big12,4.7309349715275
2021,5,Big12,7979,37,Big12,3.421699254104
2021,6,Big12,9239,28,Big12,2.5641708618199996
2021,7,Big12,9138,28,Big12,2.3299832879175
2021,8,Big12,9238,41,Big12,3.0703097251275002
2021,9,Big12,7892,29,Big12,2.835938624722
2021,10,Big12,9978,21,Big12,3.5207857743649997
2021,11,Big12,9794,58,Big12,5.194417960836
2021,12,Big12,11074,63,Big12,2.891454423986
2021,13,Big12,8428,40,Big12,2.925112870376
2021,1,Pac12,9970,68,SEC,3.23466834441
2021,2,Pac12,9259,35,SEC,2.82371108089
2021,3,Pac12,21249,63,Big10,4.27649952219
2021,4,Pac12,7753,66,,
2021,5,Pac12,14800,-25,,
2021,6,Pac12,11745,17,,
2021,7,Pac12,12616,69,,
2021,8,Pac12,17306,23,,
2021,9,Pac12,8862,44,,
2021,10,Pac12,9883,24,,
2021,11,Pac12,6233,33,,
2021,12,Pac12,11457,12,,
2021,13,Pac12,12286,20,,
2021,1,SEC,18299,58,ACC,3.303629080695
2021,1,SEC,18299,58,Big10,3.31960492143
2021,2,SEC,16203,42,ACC,2.4783936641
2021,2,SEC,16203,42,Big12,4.02528029064
2021,2,SEC,16203,42,SEC,2.0435271756
2021,3,SEC,13217,14,Pac12,1.13654184981
2021,3,SEC,13217,14,SEC,4.746180385365
2021,4,SEC,13406,29,SEC,3.029294594308
2021,5,SEC,15692,-47,SEC,3.0315548423783336
2021,6,SEC,14430,6,SEC,3.0640233716250003
2021,7,SEC,18051,25,SEC,3.4377839146342852
2021,8,SEC,13612,-21,SEC,2.72230799224
2021,9,SEC,10735,13,SEC,2.2078562778975
2021,10,SEC,12181,47,SEC,3.183478632171667
2021,11,SEC,12102,30,SEC,2.5574167244716666
2021,12,SEC,11664,29,SEC,2.1777651579999997
2021,13,SEC,15538,46,ACC,3.5610585601049998
2021,13,SEC,15538,46,SEC,2.72104944237
2022,1,ACC,10917,38,,
2022,2,ACC,11332,36,,
2022,3,ACC,10373,56,,
2022,4,ACC,9227,47,,
2022,5,ACC,7839,38,,
2022,6,ACC,7979,28,,
2022,7,ACC,6444,26,,
2022,8,ACC,6426,20,,
2022,9,ACC,7668,33,,
2022,10,ACC,6728,44,,
2022,11,ACC,6760,12,,
2022,12,ACC,20767,-53,,
2022,13,ACC,10455,-59,,
2022,1,Big10,24615,53,,
2022,2,Big10,17495,43,,
2022,3,Big10,19700,21,,
2022,4,Big10,15875,59,,
2022,5,Big10,14864,10,,
2022,6,Big10,14275,29,,
2022,7,Big10,12130,52,,
2022,8,Big10,12555,42,,
2022,9,Big10,13171,48,,
2022,10,Big10,14792,18,,
2022,11,Big10,11385,55,,
2022,12,Big10,14074,30,,
2022,13,Big10,23354,29,,
2022,1,Big12,13548,53,,
2022,2,Big12,12720,43,,
2022,3,Big12,13652,56,,
2022,4,Big12,12713,53,,
2022,5,Big12,10378,23,,
2022,6,Big12,10360,45,,
2022,7,Big12,10125,44,,
2022,8,Big12,7717,14,,
2022,9,Big12,8713,6,,
2022,10,Big12,8758,73,,
2022,11,Big12,8267,39,,
2022,12,Big12,8729,24,,
2022,13,Big12,7824,43,,
2022,1,Pac12,9804,55,,
2022,2,Pac12,6856,64,,
2022,3,Pac12,6196,60,,
2022,4,Pac12,7956,31,,
2022,5,Pac12,7215,11,,
2022,6,Pac12,6576,27,,
2022,7,Pac12,5850,67,,
2022,8,Pac12,7881,-33,,
2022,9,Pac12,5323,47,,
2022,10,Pac12,5558,84,,
2022,11,Pac12,5788,73,,
2022,12,Pac12,6819,40,,
2022,13,Pac12,7962,-13,,
2022,1,SEC,20719,67,,
2022,2,SEC,20043,18,,
2022,3,SEC,17979,50,,
2022,4,SEC,18227,17,,
2022,5,SEC,15167,40,,
2022,6,SEC,17599,25,,
2022,7,SEC,15604,25,,
2022,8,SEC,17107,-19,,
2022,9,SEC,15641,-30,,
2022,10,SEC,19481,30,,
2022,11,SEC,16984,14,,
2022,12,SEC,12127,40,,
2022,13,SEC,14702,44,,
2023,1,ACC,13788,35,,
2023,2,ACC,22540,39,,
2023,3,ACC,11423,58,,
2023,4,ACC,13185,62,,
2023,5,ACC,11718,57,,
2023,6,ACC,10067,37,,
2023,7,ACC,9443,8,,
2023,8,ACC,9773,57,,
2023,9,ACC,10240,-12,,
2023,10,ACC,10753,33,,
2023,11,ACC,9649,16,,
2023,12,ACC,9822,43,,
2023,13,ACC,14174,59,,
2023,1,Big10,27897,40,,
2023,2,Big10,26867,33,,
2023,3,Big10,29719,48,,
2023,4,Big10,17221,38,,
2023,5,Big10,16319,36,,
2023,6,Big10,17521,35,,
2023,7,Big10,15785,21,,
2023,8,Big10,27459,13,,
2023,9,Big10,26321,-16,,
2023,10,Big10,24849,2,,
2023,11,Big10,33758,5,,
2023,12,Big10,25204,13,,
2023,13,Big10,29555,39,,
2023,1,Big12,18390,78,,
2023,2,Big12,39579,36,,
2023,3,Big12,36887,44,,
2023,4,Big12,13402,61,,
2023,5,Big12,13287,38,,
2023,6,Big12,11895,55,,
2023,7,Big12,11951,27,,
2023,8,Big12,9182,40,,
2023,9,Big12,12962,38,,
2023,10,Big12,11794,37,,
2023,11,Big12,13921,33,,
2023,12,Big12,12941,45,,
2023,13,Big12,13959,59,,
2023,1,Pac12,21706,75,,
2023,2,Pac12,21573,53,,
2023,3,Pac12,15639,53,,
2023,4,Pac12,29948,58,,
2023,5,Pac12,19183,31,,
2023,6,Pac12,11538,79,,
2023,7,Pac12,12190,41,,
2023,8,Pac12,10280,37,,
2023,9,Pac12,17821,19,,
2023,10,Pac12,15816,39,,
2023,11,Pac12,11014,44,,
2023,12,Pac12,12523,24,,
2023,13,Pac12,11379,47,,
2023,1,SEC,26959,57,,
2023,2,SEC,20499,25,,
2023,3,SEC,26191,42,,
2023,4,SEC,19632,47,,
2023,5,SEC,16230,43,,
2023,6,SEC,18769,29,,
2023,7,SEC,14991,38,,
2023,8,SEC,14847,44,,
2023,9,SEC,14658,40,,
2023,10,SEC,15171,43,,
2023,11,SEC,17313,43,,
2023,12,SEC,17948,19,,
2023,13,SEC,25287,31,,
