conference,week,chaos_score,Conference,Week_Index,Sentiment_conf
ACC,1,0.37564529376389766,ACC,1,65
ACC,1,0.37564529376389766,ACC,1,68
ACC,1,0.37564529376389766,ACC,1,46
ACC,1,0.37564529376389766,ACC,1,38
ACC,1,0.37564529376389766,ACC,1,35
ACC,2,0.45138320407219695,ACC,2,33
ACC,2,0.45138320407219695,ACC,2,27
ACC,2,0.45138320407219695,ACC,2,41
ACC,2,0.45138320407219695,ACC,2,36
ACC,2,0.45138320407219695,ACC,2,39
ACC,3,0.44268378036613437,ACC,3,63
ACC,3,0.44268378036613437,ACC,3,17
ACC,3,0.44268378036613437,ACC,3,28
ACC,3,0.44268378036613437,ACC,3,56
ACC,3,0.44268378036613437,ACC,3,58
ACC,4,0.49061257397457564,ACC,4,50
ACC,4,0.49061257397457564,ACC,4,64
ACC,4,0.49061257397457564,ACC,4,33
ACC,4,0.49061257397457564,ACC,4,47
ACC,4,0.49061257397457564,ACC,4,62
ACC,5,0.558589917272685,ACC,5,65
ACC,5,0.558589917272685,ACC,5,31
ACC,5,0.558589917272685,ACC,5,37
ACC,5,0.558589917272685,ACC,5,38
ACC,5,0.558589917272685,ACC,5,57
ACC,6,0.5015908266360724,ACC,6,58
ACC,6,0.5015908266360724,ACC,6,29
ACC,6,0.5015908266360724,ACC,6,42
ACC,6,0.5015908266360724,ACC,6,28
ACC,6,0.5015908266360724,ACC,6,37
ACC,7,0.46911712727493393,ACC,7,62
ACC,7,0.46911712727493393,ACC,7,43
ACC,7,0.46911712727493393,ACC,7,-3
ACC,7,0.46911712727493393,ACC,7,26
ACC,7,0.46911712727493393,ACC,7,8
ACC,8,0.4818762991426049,ACC,8,60
ACC,8,0.4818762991426049,ACC,8,51
ACC,8,0.4818762991426049,ACC,8,32
ACC,8,0.4818762991426049,ACC,8,20
ACC,8,0.4818762991426049,ACC,8,57
ACC,9,0.4382357481115746,ACC,9,31
ACC,9,0.4382357481115746,ACC,9,57
ACC,9,0.4382357481115746,ACC,9,43
ACC,9,0.4382357481115746,ACC,9,33
ACC,9,0.4382357481115746,ACC,9,-12
ACC,10,0.4882365460257402,ACC,10,31
ACC,10,0.4882365460257402,ACC,10,3
ACC,10,0.4882365460257402,ACC,10,33
ACC,10,0.4882365460257402,ACC,10,44
ACC,10,0.4882365460257402,ACC,10,33
ACC,11,0.48078000574765034,ACC,11,39
ACC,11,0.48078000574765034,ACC,11,-10
ACC,11,0.48078000574765034,ACC,11,18
ACC,11,0.48078000574765034,ACC,11,12
ACC,11,0.48078000574765034,ACC,11,16
ACC,12,0.627226273018655,ACC,12,69
ACC,12,0.627226273018655,ACC,12,0
ACC,12,0.627226273018655,ACC,12,26
ACC,12,0.627226273018655,ACC,12,-53
ACC,12,0.627226273018655,ACC,12,43
ACC,13,0.47688429258681514,ACC,13,38
ACC,13,0.47688429258681514,ACC,13,-3
ACC,13,0.47688429258681514,ACC,13,29
ACC,13,0.47688429258681514,ACC,13,-59
ACC,13,0.47688429258681514,ACC,13,59
Big10,1,0.471481200311888,Big10,1,65
Big10,1,0.471481200311888,Big10,1,58
Big10,1,0.471481200311888,Big10,1,36
Big10,1,0.471481200311888,Big10,1,53
Big10,1,0.471481200311888,Big10,1,40
Big10,2,0.5361510912977718,Big10,2,60
Big10,2,0.5361510912977718,Big10,2,75
Big10,2,0.5361510912977718,Big10,2,50
Big10,2,0.5361510912977718,Big10,2,43
Big10,2,0.5361510912977718,Big10,2,33
Big10,3,0.4750722991585978,Big10,3,47
Big10,3,0.4750722991585978,Big10,3,59
Big10,3,0.4750722991585978,Big10,3,62
Big10,3,0.4750722991585978,Big10,3,21
Big10,3,0.4750722991585978,Big10,3,48
Big10,4,0.3922679997872741,Big10,4,-8
Big10,4,0.3922679997872741,Big10,4,30
Big10,4,0.3922679997872741,Big10,4,17
Big10,4,0.3922679997872741,Big10,4,59
Big10,4,0.3922679997872741,Big10,4,38
Big10,5,0.6112609620013489,Big10,5,41
Big10,5,0.6112609620013489,Big10,5,51
Big10,5,0.6112609620013489,Big10,5,49
Big10,5,0.6112609620013489,Big10,5,10
Big10,5,0.6112609620013489,Big10,5,36
Big10,6,0.5185056132301983,Big10,6,54
Big10,6,0.5185056132301983,Big10,6,63
Big10,6,0.5185056132301983,Big10,6,37
Big10,6,0.5185056132301983,Big10,6,29
Big10,6,0.5185056132301983,Big10,6,35
Big10,7,0.5316758200603787,Big10,7,27
Big10,7,0.5316758200603787,Big10,7,47
Big10,7,0.5316758200603787,Big10,7,30
Big10,7,0.5316758200603787,Big10,7,52
Big10,7,0.5316758200603787,Big10,7,21
Big10,8,0.4424492902701603,Big10,8,22
Big10,8,0.4424492902701603,Big10,8,50
Big10,8,0.4424492902701603,Big10,8,42
Big10,8,0.4424492902701603,Big10,8,42
Big10,8,0.4424492902701603,Big10,8,13
Big10,9,0.5475001107178711,Big10,9,45
Big10,9,0.5475001107178711,Big10,9,-11
Big10,9,0.5475001107178711,Big10,9,25
Big10,9,0.5475001107178711,Big10,9,48
Big10,9,0.5475001107178711,Big10,9,-16
Big10,10,0.3654213613735883,Big10,10,34
Big10,10,0.3654213613735883,Big10,10,-8
Big10,10,0.3654213613735883,Big10,10,61
Big10,10,0.3654213613735883,Big10,10,18
Big10,10,0.3654213613735883,Big10,10,2
Big10,11,0.4744909743986829,Big10,11,65
Big10,11,0.4744909743986829,Big10,11,-31
Big10,11,0.4744909743986829,Big10,11,23
Big10,11,0.4744909743986829,Big10,11,55
Big10,11,0.4744909743986829,Big10,11,5
Big10,12,0.3983343596148382,Big10,12,62
Big10,12,0.3983343596148382,Big10,12,17
Big10,12,0.3983343596148382,Big10,12,37
Big10,12,0.3983343596148382,Big10,12,30
Big10,12,0.3983343596148382,Big10,12,13
Big10,13,0.40064373332257747,Big10,13,50
Big10,13,0.40064373332257747,Big10,13,-2
Big10,13,0.40064373332257747,Big10,13,66
Big10,13,0.40064373332257747,Big10,13,29
Big10,13,0.40064373332257747,Big10,13,39
Big12,1,0.42648304747252214,Big12,1,69
Big12,1,0.42648304747252214,Big12,1,31
Big12,1,0.42648304747252214,Big12,1,50
Big12,1,0.42648304747252214,Big12,1,53
Big12,1,0.42648304747252214,Big12,1,78
Big12,2,0.4354545597568341,Big12,2,57
Big12,2,0.4354545597568341,Big12,2,62
Big12,2,0.4354545597568341,Big12,2,56
Big12,2,0.4354545597568341,Big12,2,43
Big12,2,0.4354545597568341,Big12,2,36
Big12,3,0.45344817009119726,Big12,3,47
Big12,3,0.45344817009119726,Big12,3,51
Big12,3,0.45344817009119726,Big12,3,10
Big12,3,0.45344817009119726,Big12,3,56
Big12,3,0.45344817009119726,Big12,3,44
Big12,4,0.4785542740032656,Big12,4,44
Big12,4,0.4785542740032656,Big12,4,18
Big12,4,0.4785542740032656,Big12,4,32
Big12,4,0.4785542740032656,Big12,4,53
Big12,4,0.4785542740032656,Big12,4,61
Big12,5,0.2854332618080576,Big12,5,30
Big12,5,0.2854332618080576,Big12,5,27
Big12,5,0.2854332618080576,Big12,5,37
Big12,5,0.2854332618080576,Big12,5,23
Big12,5,0.2854332618080576,Big12,5,38
Big12,6,0.4595538276447527,Big12,6,50
Big12,6,0.4595538276447527,Big12,6,11
Big12,6,0.4595538276447527,Big12,6,28
Big12,6,0.4595538276447527,Big12,6,45
Big12,6,0.4595538276447527,Big12,6,55
Big12,7,0.6175784873362833,Big12,7,47
Big12,7,0.6175784873362833,Big12,7,19
Big12,7,0.6175784873362833,Big12,7,28
Big12,7,0.6175784873362833,Big12,7,44
Big12,7,0.6175784873362833,Big12,7,27
Big12,8,0.4943634561275376,Big12,8,43
Big12,8,0.4943634561275376,Big12,8,27
Big12,8,0.4943634561275376,Big12,8,41
Big12,8,0.4943634561275376,Big12,8,14
Big12,8,0.4943634561275376,Big12,8,40
Big12,9,0.46806624985603174,Big12,9,46
Big12,9,0.46806624985603174,Big12,9,10
Big12,9,0.46806624985603174,Big12,9,29
Big12,9,0.46806624985603174,Big12,9,6
Big12,9,0.46806624985603174,Big12,9,38
Big12,10,0.5896164840421663,Big12,10,21
Big12,10,0.5896164840421663,Big12,10,65
Big12,10,0.5896164840421663,Big12,10,21
Big12,10,0.5896164840421663,Big12,10,73
Big12,10,0.5896164840421663,Big12,10,37
Big12,11,0.6177854370568128,Big12,11,39
Big12,11,0.6177854370568128,Big12,11,28
Big12,11,0.6177854370568128,Big12,11,58
Big12,11,0.6177854370568128,Big12,11,39
Big12,11,0.6177854370568128,Big12,11,33
Big12,12,0.5060901942291907,Big12,12,23
Big12,12,0.5060901942291907,Big12,12,67
Big12,12,0.5060901942291907,Big12,12,63
Big12,12,0.5060901942291907,Big12,12,24
Big12,12,0.5060901942291907,Big12,12,45
Big12,13,0.5927369978324745,Big12,13,56
Big12,13,0.5927369978324745,Big12,13,-5
Big12,13,0.5927369978324745,Big12,13,40
Big12,13,0.5927369978324745,Big12,13,43
Big12,13,0.5927369978324745,Big12,13,59
Pac12,1,0.5974139533777134,Pac12,1,54
Pac12,1,0.5974139533777134,Pac12,1,56
Pac12,1,0.5974139533777134,Pac12,1,68
Pac12,1,0.5974139533777134,Pac12,1,55
Pac12,1,0.5974139533777134,Pac12,1,75
Pac12,2,0.4127908858777017,Pac12,2,47
Pac12,2,0.4127908858777017,Pac12,2,61
Pac12,2,0.4127908858777017,Pac12,2,35
Pac12,2,0.4127908858777017,Pac12,2,64
Pac12,2,0.4127908858777017,Pac12,2,53
Pac12,3,0.3713908601721053,Pac12,3,31
Pac12,3,0.3713908601721053,Pac12,3,50
Pac12,3,0.3713908601721053,Pac12,3,63
Pac12,3,0.3713908601721053,Pac12,3,60
Pac12,3,0.3713908601721053,Pac12,3,53
Pac12,4,0.5577415909373246,Pac12,4,33
Pac12,4,0.5577415909373246,Pac12,4,58
Pac12,4,0.5577415909373246,Pac12,4,66
Pac12,4,0.5577415909373246,Pac12,4,31
Pac12,4,0.5577415909373246,Pac12,4,58
Pac12,5,0.4897268306279493,Pac12,5,54
Pac12,5,0.4897268306279493,Pac12,5,59
Pac12,5,0.4897268306279493,Pac12,5,-25
Pac12,5,0.4897268306279493,Pac12,5,11
Pac12,5,0.4897268306279493,Pac12,5,31
Pac12,6,0.454543267847063,Pac12,6,34
Pac12,6,0.454543267847063,Pac12,6,19
Pac12,6,0.454543267847063,Pac12,6,17
Pac12,6,0.454543267847063,Pac12,6,27
Pac12,6,0.454543267847063,Pac12,6,79
Pac12,7,0.41689803543277054,Pac12,7,48
Pac12,7,0.41689803543277054,Pac12,7,42
Pac12,7,0.41689803543277054,Pac12,7,69
Pac12,7,0.41689803543277054,Pac12,7,67
Pac12,7,0.41689803543277054,Pac12,7,41
Pac12,8,0.5262369958714351,Pac12,8,40
Pac12,8,0.5262369958714351,Pac12,8,54
Pac12,8,0.5262369958714351,Pac12,8,23
Pac12,8,0.5262369958714351,Pac12,8,-33
Pac12,8,0.5262369958714351,Pac12,8,37
Pac12,9,0.4868674793895902,Pac12,9,62
Pac12,9,0.4868674793895902,Pac12,9,46
Pac12,9,0.4868674793895902,Pac12,9,44
Pac12,9,0.4868674793895902,Pac12,9,47
Pac12,9,0.4868674793895902,Pac12,9,19
Pac12,10,0.3931582318512838,Pac12,10,45
Pac12,10,0.3931582318512838,Pac12,10,-9
Pac12,10,0.3931582318512838,Pac12,10,24
Pac12,10,0.3931582318512838,Pac12,10,84
Pac12,10,0.3931582318512838,Pac12,10,39
Pac12,11,0.5001442032334275,Pac12,11,39
Pac12,11,0.5001442032334275,Pac12,11,43
Pac12,11,0.5001442032334275,Pac12,11,33
Pac12,11,0.5001442032334275,Pac12,11,73
Pac12,11,0.5001442032334275,Pac12,11,44
Pac12,12,0.4523379786675482,Pac12,12,62
Pac12,12,0.4523379786675482,Pac12,12,49
Pac12,12,0.4523379786675482,Pac12,12,12
Pac12,12,0.4523379786675482,Pac12,12,40
Pac12,12,0.4523379786675482,Pac12,12,24
Pac12,13,0.4589920280151112,Pac12,13,62
Pac12,13,0.4589920280151112,Pac12,13,39
Pac12,13,0.4589920280151112,Pac12,13,20
Pac12,13,0.4589920280151112,Pac12,13,-13
Pac12,13,0.4589920280151112,Pac12,13,47
SEC,1,0.3676131475250159,SEC,1,52
SEC,1,0.3676131475250159,SEC,1,77
SEC,1,0.3676131475250159,SEC,1,58
SEC,1,0.3676131475250159,SEC,1,67
SEC,1,0.3676131475250159,SEC,1,57
SEC,2,0.48043122984734016,SEC,2,24
SEC,2,0.48043122984734016,SEC,2,40
SEC,2,0.48043122984734016,SEC,2,42
SEC,2,0.48043122984734016,SEC,2,18
SEC,2,0.48043122984734016,SEC,2,25
SEC,3,0.508226907181554,SEC,3,44
SEC,3,0.508226907181554,SEC,3,4
SEC,3,0.508226907181554,SEC,3,14
SEC,3,0.508226907181554,SEC,3,50
SEC,3,0.508226907181554,SEC,3,42
SEC,4,0.3943464416479675,SEC,4,29
SEC,4,0.3943464416479675,SEC,4,53
SEC,4,0.3943464416479675,SEC,4,29
SEC,4,0.3943464416479675,SEC,4,17
SEC,4,0.3943464416479675,SEC,4,47
SEC,5,0.4209454934742708,SEC,5,19
SEC,5,0.4209454934742708,SEC,5,47
SEC,5,0.4209454934742708,SEC,5,-47
SEC,5,0.4209454934742708,SEC,5,40
SEC,5,0.4209454934742708,SEC,5,43
SEC,6,0.5015581411389988,SEC,6,41
SEC,6,0.5015581411389988,SEC,6,19
SEC,6,0.5015581411389988,SEC,6,6
SEC,6,0.5015581411389988,SEC,6,25
SEC,6,0.5015581411389988,SEC,6,29
SEC,7,0.5435246598156376,SEC,7,49
SEC,7,0.5435246598156376,SEC,7,54
SEC,7,0.5435246598156376,SEC,7,25
SEC,7,0.5435246598156376,SEC,7,25
SEC,7,0.5435246598156376,SEC,7,38
SEC,8,0.3502408841031509,SEC,8,56
SEC,8,0.3502408841031509,SEC,8,33
SEC,8,0.3502408841031509,SEC,8,-21
SEC,8,0.3502408841031509,SEC,8,-19
SEC,8,0.3502408841031509,SEC,8,44
SEC,9,0.4607145017395246,SEC,9,37
SEC,9,0.4607145017395246,SEC,9,36
SEC,9,0.4607145017395246,SEC,9,13
SEC,9,0.4607145017395246,SEC,9,-30
SEC,9,0.4607145017395246,SEC,9,40
SEC,10,0.6159696338110183,SEC,10,36
SEC,10,0.6159696338110183,SEC,10,40
SEC,10,0.6159696338110183,SEC,10,47
SEC,10,0.6159696338110183,SEC,10,30
SEC,10,0.6159696338110183,SEC,10,43
SEC,11,0.5400994662352613,SEC,11,62
SEC,11,0.5400994662352613,SEC,11,9
SEC,11,0.5400994662352613,SEC,11,30
SEC,11,0.5400994662352613,SEC,11,14
SEC,11,0.5400994662352613,SEC,11,43
SEC,12,0.42823705961367775,SEC,12,44
SEC,12,0.42823705961367775,SEC,12,19
SEC,12,0.42823705961367775,SEC,12,29
SEC,12,0.42823705961367775,SEC,12,40
SEC,12,0.42823705961367775,SEC,12,19
SEC,13,0.48479055952412314,SEC,13,64
SEC,13,0.48479055952412314,SEC,13,38
SEC,13,0.48479055952412314,SEC,13,46
SEC,13,0.48479055952412314,SEC,13,44
SEC,13,0.48479055952412314,SEC,13,31
